Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2022-01-17,"O Brother, Where Art Thou?",2000,https://boxd.it/2ur0NH,4.5,Yes,"Mr Ledger Parker, a friend of mine, plays the uncredited role of the man who has the line, “Who is that man?” during the fight in the Woolworth’s",youtube,2022-01-16
2022-01-17,Call Me by Your Name,2017,https://boxd.it/2uutoH,5,Yes,It’s time I gave this 5 stars,moviesanywhere,2022-01-16
2022-01-18,2010: The Year We Make Contact,1984,https://boxd.it/2uHd85,3,,why wouldn't you put the monolith in the center of the frame for the final shot? such bullshit,hbomax,2022-01-17
2022-01-19,2025: The World Enslaved by a Virus,2021,https://boxd.it/2uNJf5,,,I actually believe this has a great message and was absolutely worth starting at 7 AM,primevideo,2022-01-18
2022-01-19,Scream,2022,https://boxd.it/2uV0bt,3.5,,cathartic and satisfying,in theaters,2022-01-18
2022-01-19,It Follows,2014,https://boxd.it/2uWmKx,3.5,,œdipal,netflix,2022-01-18
2022-01-20,The Tragedy of Macbeth,2021,https://boxd.it/2v7PFN,5,Yes,Watched with JXN Film Club,"jxnfilmclub, appletv+, samo",2022-01-19
2022-01-20,Funny Games,1997,https://boxd.it/2v9e0n,5,,this is a god damn horror movie,hbomax,2022-01-20
2022-01-21,Good News,1947,https://boxd.it/2vcVfh,4,,A lovely palate cleanser after <i>Funny Games </i>(1997),hbomax,2022-01-20
2022-01-21,Rashomon,1950,https://boxd.it/2vjY7T,,,"My first from Akira Kurosawa

I didn't like this one, but I don't have the words for why",hbomax,2022-01-20
2022-01-22,The Matrix Resurrections,2021,https://boxd.it/2vrrzV,3,Yes,"This is the last day you can watch this on HBO Max but don’t worry, it’s not a good movie",hbomax,2022-01-21
2022-01-23,Say Anything...,1989,https://boxd.it/2vKHwr,5,,"Bitches, man.",hbomax,2022-01-22
2022-01-23,The Shining,1980,https://boxd.it/2vMM7P,5,Yes,"“See? It’s okay. He saw it on the television.”

Mark incepted this into my brain and it is presently 25°F outside (in Mississippi) so it is requisite viewing.

The following is a record of things I remember saying out loud or doing throughout the movie:
- “Yikes. Yikes!” when the twins first appeared 
- “Go away, go away!” when the twins turned their heads toward each other and laughed 
- <i>applaud </i>(3 claps) when Dick telepathically asks what ice cream Doc wants 
- <i>eat milk & cereal </i>when Dick and Doc eat the ice cream 
- <i>shift uncomfortably </i>during Jack’s typewriting scenes (and pretty much anytime he’s on screen with Wendy) 
- “Fuck y’all bitches,” when the twins invite Danny to play with them forever (& ever) (& pretty much every time they appear on screen)
- “Don’t toy with me, Stanley,”  when he made this movie
-<i> rolled a joint </i>when Jack goes to Room 237 
- “All right bud,” when Dick’s artwork is on screen depicting bare-chested women
- <i>cuddle with cats </i>
- “Ooh he used the hard R—forgot about that. Woof,” when the racist bathroom scene happened
- <i>smoke in anxious sympathy </i>with Wendy when Danny does the redrum thing the first time
- <i>scratch knee anxiously </i>at Jack and Wendy arguing with the baseball bat
- <i>clapped in rhythm</i> with the strings during Danny's big redrum scene
- <i>literal heart attack</i> during THE murder scene",hbomax,2022-01-23
2022-01-24,Funny Games,2007,https://boxd.it/2vVOm1,4.5,,"The fact that Michael Haneke made the same movie ten years apart says a lot about his confidence that this screenplay has everything he wants to say in it. He manages to torture the viewer just as much as he tortured the main characters. 

1997/2007 was the perfect era to release a movie where a house doesn’t have a landline and the family has a single cell phone.",primevideo,2022-01-23
2022-01-24,Nobody,2021,https://boxd.it/2vZhq3,3,,Killer soundtrack. It’s worth a watch just for the ride.,hbomax,2022-01-23
2022-01-25,Pride & Prejudice,2005,https://boxd.it/2wcMRb,4.5,,"I did not watch this tonight, but <a href=""https://letterboxd.com/matthewgoins/"" rel=""nofollow"">Matthew Goins</a> did.

He also watched it <a href=""https://letterboxd.com/matthewgoins/film/pride-prejudice/1/"" rel=""nofollow"">13 Dec 2021</a> and <a href=""https://letterboxd.com/matthewgoins/film/pride-prejudice/"" rel=""nofollow"">25 Jul 2021</a>.


Curiously it doesn’t appear in his <a href=""https://boxd.it/dj2wu"" style=""-webkit-text-size-adjust: 100%;"">top 20 list</a> despite his watch frequency.",,
2022-01-27,Pig,2021,https://boxd.it/2wytZf,5,Yes,Watched with Clay,hulu,2022-01-26
2022-01-28,There Will Be Blood,2007,https://boxd.it/2wGi8P,5,Yes,"I watched this for free <a href=""https://www.youtube.com/watch?v=D8HMuIm2yAY"">on YouTube</a>.",youtube,2022-01-27
2022-01-29,Moonstruck,1987,https://boxd.it/2wQqE5,4,,pretty sure an Italian romance would kill me based on this movie,hbomax,2022-01-28
2022-01-31,Malignant,2021,https://boxd.it/2xoUKF,3,,Detective Kekoa Shaw is a hot cop with stormtrooper aim,hbomax,2022-01-30
2022-02-01,Midsommar,2019,https://boxd.it/2xv7Fb,5,Yes,"<i>Summer is icumen in, </i>
<i>loudly sing cuckoo. </i>
<i>Grows the seed </i>
<i>and blows the mead, </i>
<i>and springs the wood anew. </i>
<i>Sing, cuckoo! </i>
<i>Ewe bleats harshly after lamb, </i>
<i>cows after calves make moo.</i>

- Lord Summerisle, <i>The Wicker Man</i> (1973)

First watch of 2022. May winter end quickly. See you again at midsummer.","4k, directors cut",2022-01-31
2022-02-02,Bicycle Thieves,1948,https://boxd.it/2xK0ch,5,,Life is not fair. Be grateful for what you have.,"hbomax, samo",2022-02-01
2022-02-04,Pig,2021,https://boxd.it/2y4tHD,5,Yes,I cooked for people tonight.,hulu,2022-02-03
2022-02-05,Promising Young Woman,2020,https://boxd.it/2ycPDT,5,,Carey Mulligan does female revenge fantasy,hbomax,2022-02-04
2022-02-06,Jackass Forever,2022,https://boxd.it/2yr4cB,5,,it has a penis flattener and I thought that was pretty neat,"in theaters, markvs",2022-02-05
2022-02-08,Plaisir,2021,https://boxd.it/2yQhrp,4,,"I love to dance, too",youtube,2022-02-07
2022-02-09,CODA,2021,https://boxd.it/2yXBsB,4,,🥰   a feel-good movie if I ever saw one,appletv+,2022-02-08
2022-02-09,Panic Room,2002,https://boxd.it/2yZsNp,3.5,Yes,"I put this on to celebrate the people’s princess and Academy award nominee Kristen Stewart


This was the first movie I ever saw her in!",hulu,2022-02-08
2022-02-09,Videodrome,1983,https://boxd.it/2z0lbF,3,,I watched this with Clay and don’t understand a single fucken thing,criterion,2022-02-08
2022-02-10,Donnie Darko,2001,https://boxd.it/2z6z1r,4.5,Yes,<i>they made me do it</i>,hbomax,2022-02-09
2022-02-11,The Queen of Basketball,2021,https://boxd.it/2zgH6p,5,,"I love Lucy’s little laugh 

This was my first time at the newly renovated & historic Capri Theater in Jackson, MS",in theaters,2022-02-10
2022-02-11,But I'm a Cheerleader,1999,https://boxd.it/2zmb6J,5,,This is my 800th movie logged on Letterboxd for all time,youtube,2022-02-10
2022-02-12,Porco Rosso,1992,https://boxd.it/2zye3R,4,,“A girl engineer... Are you sure?” 😂,hbomax,2022-02-11
2022-02-13,Kimi,2022,https://boxd.it/2zKnq5,4.5,,Watch this alone. Zoë demands your complete attention.,hbomax,2022-02-12
2022-02-14,First Reformed,2017,https://boxd.it/2zZ6HD,5,Yes,the camera moves during holy moments only,googleplay,2022-02-13
2022-02-16,Blade Runner 2049,2017,https://boxd.it/2Ae54F,5,Yes,"brutalist.

also this has the same plot as <i>Drive</i> except a sad ending instead; Ryan Gosling befriends a perfect stranger and gets stabbed to protect the person’s child.","hbomax, profile",2022-02-15
2022-02-17,Hackers,1995,https://boxd.it/2AnnFR,3.5,,"I’m just as surprised as anyone that I love this 

It is endearingly and perfectly awful",,2022-02-16
2022-02-19,Fruitvale Station,2013,https://boxd.it/2ANTXv,5,,February screening for Jackson Film Club,jxnfilmclub,2022-02-18
2022-02-20,Pig,2021,https://boxd.it/2B26ZH,5,Yes,"Watched with Hunter

I cried at new places, pretty much from the beginning actually","hulu, lovvorn",2022-02-19
2022-02-21,Uncharted,2022,https://boxd.it/2BgCHD,2,,"I hope Tom had more fun making this than I did watching it 

Cash your paycheck bro",in theaters,2022-02-20
2022-02-23,Clue,1985,https://boxd.it/2BxcQt,4,Yes,"we used to be a proper country. instead of movies based on video games, we made movies based on board games.

and they were <i>great</i>.",youtube,2022-02-22
2022-02-24,The Wicker Man,1973,https://boxd.it/2BNuhX,5,Yes,whimsically pagan,amc+,2022-02-23
2022-02-27,Samurai Champloo,2004,https://boxd.it/2CjebD,5,,This was my first time finishing this and it was so fucken cool,hulu,2022-02-26
2022-03-02,The Batman,2022,https://boxd.it/2COkhJ,5,,It’s not perfect but I loved it,"in theaters, imax, samo, markvs",2022-03-01
2022-03-03,Drive My Car,2021,https://boxd.it/2CUMdH,5,,"I started watching <i>Drive My Car</i> this morning before breakfast not realizing it has a 3-hour runtime. I continued during lunch and still wasn't able to finish it. I stopped working in the afternoon and decided to go ahead and finish it.

I don't recommend this viewing experience but it did not taint any of the characters or their emotional depth. I will revisit this and properly give it my attention soon, but I need some time before that happens. ",hbomax,2022-03-02
2022-03-04,The Batman,2022,https://boxd.it/2D8RGn,5,Yes,Finally. A Batman who spends hours looking through dusty files.,in theaters,2022-03-03
2022-03-07,Swallow,2019,https://boxd.it/2DNjAx,5,,"this worked for me on so many levels. 

the narrative comes to a gut-wrenching but satisfying conclusion, an ending deserving of your full attention to get there.",amc+,2022-03-06
2022-03-08,Jeff Drives You,2019,https://boxd.it/2DSZTr,4,,I laughed a lot,vimeo,2022-03-07
2022-03-08,The Jump,2018,https://boxd.it/2DYpjz,4.5,,just a lovely little poem about space,dust,2022-03-07
2022-03-09,Orange County,2002,https://boxd.it/2E3vW3,3.5,,"unproblematic

got me nostalgic for the early naughts",youtube,2022-03-08
2022-03-11,The Assent,2019,https://boxd.it/2EplUP,1.5,,DILF,primevideo,2022-03-10
2022-03-12,Pig,2021,https://boxd.it/2ECCTZ,5,Yes,"Watched with my mom


This is my 10th time",hulu,2022-03-11
2022-03-13,Bel Ami,2012,https://boxd.it/2ENE7P,4,,"This is the closest Robert Pattinson will ever be to starring in a Jane Austen film.

Uma Thurman and Christina Ricci are so fucken good in this, their performances are clearly underrated and underappreciated around here.",primevideo,2022-03-12
2022-03-14,Fear & Shame,2017,https://boxd.it/2F4QUt,5,Yes,"Robert Pattinson, my favorite actor, is this clear yet",youtube,2022-03-13
2022-03-16,The Batman,2022,https://boxd.it/2FtfUL,5,Yes,I came for two scenes: the batmobile and the automatic guns in the elevator hallway,in theaters,2022-03-15
2022-03-17,Blink,2022,https://boxd.it/2FyL4d,3.5,,Good writing. Campy visuals.,youtube,2022-03-16
2022-03-19,Turning Red,2022,https://boxd.it/2FUo7x,3.5,,lol'ing at the dad being a 4-townie too,disney+,2022-03-18
2022-03-22,Easy A,2010,https://boxd.it/2GBpR3,3.5,Yes,"Jackson Film Club
Monthly Screening
March 2022 

I haven’t seen this since I was in bible college. My rating hasn’t changed but a lot more jokes were funnier. Emma Stone is great but she’s been in better movies since this one.",jxnfilmclub,2022-03-21
2022-03-23,X,2022,https://boxd.it/2GJeVf,4.5,,this? <i>art.</i>,in theaters,2022-03-22
2022-03-24,Blue Velvet,1986,https://boxd.it/2GZv2N,4.5,,"My second Lynch 

I don’t really know how to say it. Lynch’s movies are weird, but I like it",heathwalt,2022-03-23
2022-03-28,King Richard,2021,https://boxd.it/2HDQ3H,5,,Aunjanue Ellis is Queen 👑,hbomax,2022-03-27
2022-03-31,The Imitation Game,2014,https://boxd.it/2I7UQ9,3.5,,God bless the memory of Alan Turing,netflix,2022-03-30
2022-04-03,Juno,2007,https://boxd.it/2ICZvd,4,Yes,"This is better than I remember it.

That mall scene where Vanessa gets to feel the baby kick is pivotal to understanding Juno’s actions. 

Warm and cozy, even if it is a bit messy.",hulu,2022-04-02
2022-04-03,Shirley,2020,https://boxd.it/2IM3gz,4.5,,I respect the fuck out of Elizabeth Moss for this role,hulu,2022-04-03
2022-04-04,Princess Mononoke,1997,https://boxd.it/2IT8El,5,Yes,"This was my first time seeing it on the big screen for the 25th anniversary. 


Bryson and Stephen joined",in theaters,2022-04-03
2022-04-05,The Hitchhiker's Guide to the Galaxy,2005,https://boxd.it/2J1IwD,3,,I watched this for free on YouTube,youtube,2022-04-04
2022-04-06,Carnival of Souls,1962,https://boxd.it/2JaLQz,4.5,,"<a href=""https://open.spotify.com/track/6pvwYMVs13EJ8jj4LMX0aV?si=4c3b101c14fc4c0d""><i>They Are Night Zombies!! They Are Neighbors!! They Have Come Back From The Dead!! Ahhhh!</i></a>",hbomax,2022-04-05
2022-04-06,The Big Score,2022,https://boxd.it/2Jd0TR,5,Yes,This was a special theatrical screening as part of the 2022 B52 Film Challenge showcase and awards ceremony. Sam and Jake's film took first place! I am proud of my friends,"markvs, samo, in theaters, lumberjake",2022-03-28
2022-04-06,Jujutsu Kaisen 0,2021,https://boxd.it/2JhgPJ,4,,Watched with Bryson and Stephen and Kaylee,in theaters,2022-04-05
2022-04-12,Everything Everywhere All at Once,2022,https://boxd.it/2KlUHd,4,,"Hotdog Hands 🙌


<i>[this was the first movie I’ve seen in 6 days, which is the longest gap for me this year]</i>",in theaters,2022-04-11
2022-04-13,Enemy,2013,https://boxd.it/2KvHXR,4,Yes,Heath showed me <i>Blue Velvet</i> and I offered this one in response since both films share Isabella Rossellini. ,"heathwalt, 4k",2022-04-12
2022-04-13,X,2022,https://boxd.it/2KwKV7,4.5,Yes,"decided to do a double feature tonight with A24’s Screening Room presentation of <i>X</i>

is “heartfelt horror” or “sensitive slasher” a defined genre yet? this feels like a film that could bear either",a24 screening room,2022-04-12
2022-04-14,The DUFF,2015,https://boxd.it/2KARal,2,,I’d lick Robbie Amell’s face 👅,youtube,2022-04-13
2022-04-17,Everything Everywhere All at Once,2022,https://boxd.it/2LcyMr,4.5,Yes,"This was even better a second time

Watched with mom, Shelby, and Brennan","in theaters, shelby",2022-04-16
2022-04-18,An American Pickle,2020,https://boxd.it/2LpiAZ,5,Yes,Watched with mom because she slept through it last time,hbomax,2022-04-17
2022-04-18,WOLF,2022,https://boxd.it/2Lpo8H,4,,"I watched this on Sam's phone in my truck plugged into the vehicle's sound system and I usually tag films with the service I used to watch it so this review is just to memorialize that I can't tag this one unless I really want to make a habit of watching movies ""on Sam's phone"" or ""in my truck""",samo,2021-11-23
2022-04-19,Hereditary,2018,https://boxd.it/2LzFmB,4,Yes,"Framed #38
🎥 🟩 ⬛ ⬛ ⬛ ⬛ ⬛

<a href=""https://framed.wtf"" rel=""nofollow"">https://framed.wtf</a>",itunes,2022-04-18
2022-04-23,Annihilation,2018,https://boxd.it/2MkKHD,4,Yes,"This is a solid sci-fi flick and happens to have a stellar, unique score",,2022-04-22
2022-04-24,The Unbearable Weight of Massive Talent,2022,https://boxd.it/2MvL9p,3,,Watched with Stone,in theaters,2022-04-23
2022-04-25,Bad Luck Banging or Loony Porn,2021,https://boxd.it/2MJm9n,,,IDK man this is was hilarious to me but it also sucks? I only made it 40 minutes,hulu,2022-04-24
2022-04-26,The Northman,2022,https://boxd.it/2MUXcP,4,,"Watched with Jake, Miriam, plus tags


Amleth really reminds me a lot of Hamlet","samo, markvs, in theaters, lumberjake",2022-04-25
2022-04-28,Hackers,1995,https://boxd.it/2Nfsip,3.5,Yes,"“It’s that whole male ego thing.”
immediately followed by 
“You want to be elite? You gotta do a righteous hack.”",youtube,2022-04-27
2022-04-30,Everything Everywhere All at Once,2022,https://boxd.it/2NvOSh,4.5,Yes,"A third and final theatre viewing at The Capri 

With Austin B for his final week in jxn",in theaters,2022-04-29
2022-05-03,Pig,2021,https://boxd.it/2O6iv5,5,Yes,"Watched with Ben

-----

Now that I've logged this movie 10 times in 2022 I think it's overdue to give Letterboxd some more words.

9 out of 10 of my screenings have been with company, i.e., I'm sharing this film with friends who heard me talk about it at the end of last year and said, ""I'll watch that with you."" It is a story about lonely characters and how they work with each other, so something about this sharing seems appropriate.

Nic Cage plays Rob, a former Portlander who lives in the woods. On a first viewing, it's easy to miss how sad he is at the start of the film. The entire arc of his character is bent on the grief he carries from the death of his wife. A few moments of quiet reflection gives us the image of a man who is broken, who knows he's broken, and who doesn't want to harm anyone else with his brokenness.

Alex Wolff plays an opportunistic seller of fine foods named Amir. He is meant to be more obnoxious, contrasting Robin's sullen and scraggly looks with bombastic and loud trappings of luxury and sophistication. Amir feels forced to help Rob when his pig goes missing but doesn't realize just how closely the two are tied.

It's not just these two characters who blew me away. The writing behind Nina Belforte's character Charlotte shows just how much attention Michael Sarnoski and Vanessa Block paid to making this story so real. Charlotte appears in only one scene in Part 3. Rob goes to visit her at the place where he used to run a restaurant and finds that it is now a bakery. Charlotte used to work for Rob, apparently, and she changed the restaurant a few years after he left. She waited for him to come back and take it, and when he didn't she said she realized it wasn't her. ""I'm a baker,"" Charlotte explained matter-of-factly. Nearly the entirety of this scene is shot from a single angle, watching these two people with a lot of history from a corner. Something about the way she gingerly but confidently shows care for Rob gets me every time.

Anyway, I love this movie and think it's a great one to watch.",hulu,2022-05-02
2022-05-04,The Night House,2020,https://boxd.it/2OgzgV,3,,"THE NIGHT HOUSE as a horror movie is really neat and has some very compelling visuals. I hit the spoiler button just so I could say this: HOT DAMN the scene in the bathroom with the TOUCHING felt so real! I could almost feel the tactile sensations.

The dynamics of this movie are incredibly well-tuned which is why I am extremely let down by the ending. It's not a story that gripped me enough for repeat viewings but if I ever see it again, I'll be curious to see how my thoughts change. 

Then again maybe the ending is supposed to be dissatisfying, fitting one of the themes of the film.",hbomax,2022-05-03
2022-05-05,Moon Knight,2022,https://boxd.it/2Om2lb,4.5,,Inside of you there are two Oscar Isaacs... and both of them are DILFs,disney+,2022-05-04
2022-05-05,The Other Lamb,2019,https://boxd.it/2OqQc7,4,,"To the Letterboxd film buffs who explain why they hate this movie in their reviews: It's only 97 minutes so stop complaining that there's no plot and just have a <em>human fucking experience</em>. Sometimes stories aren't for you, they're for the people around you. 

Learn to empathize, you fuckers.",hulu,2022-05-04
2022-05-06,Doctor Strange in the Multiverse of Madness,2022,https://boxd.it/2OAvA3,3,,"I didn’t care about anything except Elizabeth Olsen 

Watched with Scott",in theaters,2022-05-05
2022-05-09,Good Morning,1959,https://boxd.it/2P9ueZ,5,,I pick the <i>best</i> movies on Mother’s Day,hbomax,2022-05-08
2022-05-11,The Mark of Zorro,1940,https://boxd.it/2Pxf7H,4.5,,"I wish I had half the swagger of Diego Vega


Watched with Ben",,2022-05-10
2022-05-13,Luca,2021,https://boxd.it/2PNDvv,5,Yes,"<i>like tears in rain</i>

<i>Luca </i>ends with a bittersweet goodbye between two friends, and it represents so much more in a story about coming of age and coming to accept one’s self. This film has some beautifully creative sequences, highlighting the imagination at work by Pixar. A perfect family summer film",disney+,2022-05-12
2022-05-16,Ponyo,2008,https://boxd.it/2QmmSn,4.5,,"I wish I had kids to take to something like this.

Instead I watched this with Bryson",in theaters,2022-05-15
2022-05-17,"All Light, Everywhere",2021,https://boxd.it/2QuMTR,5,,"I loved part 3 and the epilogue.

<i>All Light, Everywhere</i> is an essay on the interests of surveillance capitalism and the surveillance state at its core, with an addendum on filmmaking during the epilogue. 

Theo Anthony is quite transparent in ways I did not expect. Part 3 emotionally connected with me in a way that tells me this sequence was well-edited, yet it contains depictions of everyday vulnerabilities. There is a lot Anthony gives to consider here, and he gives it generously and with the best intentions. 

I'm not normally a documentary guy, and this doesn't really feel like a documentary (although it most definitely and quite tragically is)",hulu,2022-05-16
2022-05-20,Drag Me to Hell,2009,https://boxd.it/2R1IMN,3.5,,"The moral of the story: you go to hell if you're the deciding factor in the foreclosure of an elderly woman's home.

Sam Raimi really has a thing for horror and eyes (as evidenced by this film and the last Raimi film I saw, <i>Doctor Strange and the Multiverse of Madness</i>)

Lots of fun horror stuff here! ",hulu,2022-05-19
2022-05-20,Men,2022,https://boxd.it/2R4vad,3,,"okay so this man, he said “I will kill myself” and then it’s the woman’s fault (<i>naturally</i>)","in theaters, samo, lumberjake",2022-05-19
2022-05-23,The Godfather,1972,https://boxd.it/2RJfH3,4.5,,"I won’t pretend to rate this

Watched with Bailey, Brooke, Collin, Garrett, Grant, Sam, and Sam",primevideo,2022-05-22
2022-05-25,Annihilation,2018,https://boxd.it/2S50oT,4,Yes,"I needed to remind myself what a sensical Alex Garland film was like

Watched with Alan",,2022-05-24
2022-05-26,Luca,2021,https://boxd.it/2SfZ8x,5,Yes,"Watched with mom and Alan 

Come see this at <a href=""https://www.instagram.com/reel/Cd_NOzaFqN0/?igshid=YmMyMTA2M2Y="" title=""Duling Hall July 14th"">Duling Hall July 14th</a>",disney+,2022-05-25
2022-05-26,Shiva Baby,2020,https://boxd.it/2SgzWj,4,Yes,"Watched with mom 

She enjoyed it, as I suspected",hbomax,2022-05-26
2022-05-27,GoodFellas,1990,https://boxd.it/2SrMij,5,,RIP Ray Liotta,hbomax,2022-05-27
2022-05-28,Top Gun: Maverick,2022,https://boxd.it/2Sz9Zf,4.5,,"I loved this

Watched with Alan, Mary, Hannah, and Logan",in theaters,2022-05-27
2022-05-29,Midsommar,2019,https://boxd.it/2SLWdN,5,Yes,"For some reason I showed my mom

She graciously entertained discussion with me about it afterward",googleplay,2022-05-29
2022-06-01,Voyage of Time: Life's Journey,2016,https://boxd.it/2Thh5x,3,,"I liked the voice over but this should have had zero CGI to be taken seriously with the message. 

Mallick missed it here 

Unrelated but I miss my mom",mubi,2022-05-31
2022-06-04,The Sandlot,1993,https://boxd.it/2TEv9T,4.5,Yes,"This was so much funnier than I remember 

JXN Film Club Summer Movie Night #1","jxnfilmclub, dulinghall, appletv, lumberjake",2022-06-03
2022-06-05,WOLF,2022,https://boxd.it/2TRU2p,4,Yes,Shared with Micah and Jeana,youtube,2022-06-04
2022-06-05,The Big Score,2022,https://boxd.it/2TRUid,5,Yes,Shared with Micah and Jeana,youtube,2022-06-04
2022-06-06,Top Gun: Maverick,2022,https://boxd.it/2U9MQn,4.5,Yes,"Watched with Micah, Jeana, Elijah, and Josh 

This was Elijah’s first IMAX","imax, in theaters",2022-06-05
2022-06-07,Drums West,1961,https://boxd.it/2Uh723,4,,i'm angry no one ever told me Jim Henson was hot,mubi,2022-06-06
2022-06-07,Cosmopolis,2012,https://boxd.it/2UjM7d,4,,"okay then


I can’t get the line out of my head. 
“My prostate is asymmetrical.” 
And weirdly it helps me understand this film",primevideo,2022-06-06
2022-06-08,Beach Rats,2017,https://boxd.it/2UwBtX,4.5,Yes,This movie man. Lots of good film shit happening here to tell a story that broke my heart,hbomax,2022-06-07
2022-06-11,The Lodge,2019,https://boxd.it/2V3zh7,4.5,,<i>I am not comfortable </i>,hulu,2022-06-11
2022-06-14,And Then We Danced,2019,https://boxd.it/2VvvBj,5,,"<a href=""https://www.instagram.com/p/WBIyReGL07/"">
I've always admired Georgian art. One day I'll visit.
</a>",mubi,2022-06-13
2022-06-15,Max Richter's Sleep,2019,https://boxd.it/2VFFhD,4.5,,Max Richter is a magical human ,mubi,2022-06-14
2022-06-17,Do the Right Thing,1989,https://boxd.it/2W62LX,5,,"Spike Lee had a vision and a message when he made this 

JXN Film Club Summer Movie Night #2","dulinghall, googleplay, jxnfilmclub",2022-06-16
2022-06-18,Thor: Ragnarok,2017,https://boxd.it/2Wgc7t,3,Yes,"Watched with Mary, Hannah, Hannah, Faith, and Eric",disney+,2022-06-17
2022-06-18,Four Hours at the Capitol,2021,https://boxd.it/2WhDYV,3,,This isn’t exhaustive and it cannot be. The Jan 6th Committee’s releases are more far-reaching documentary evidence.,hbomax,2022-06-18
2022-06-19,Inception,2010,https://boxd.it/2WtO31,5,Yes,"Watched with Mason, Brooke, Kay Anna, Miriam, Mark, Laura, Hannah, Hannah, Mary Beth, Matthew, Isaiah, Taylor, Josh, Jake, Noah, and Ian",,2022-06-18
2022-06-20,Pig,2021,https://boxd.it/2WFhIz,5,Yes,"what to do with sadness? 
lie about it? 
hide from it in distractions? 
run away and live alone in the woods?",hulu,2022-06-19
2022-06-22,The Child Molester,1964,https://boxd.it/2X6bxp,,,"Well this was the first thing I watched from the movies listed on the <a href=""https://archive.org/"" title=""Internet Archive "">Internet Archive </a>",internetarchive,2022-06-21
2022-06-23,Angst,1983,https://boxd.it/2X9ZUz,3.5,,Claustrophobic.,mubi,2022-06-22
2022-06-24,8MM,1999,https://boxd.it/2XlxmN,2,,This is my 888th film logged for all time,hulu,2022-06-23
2022-06-25,Short Term 12,2013,https://boxd.it/2XEuih,4.5,,"After today, I would also like to bang in a man’s windshield with a baseball bat",,2022-06-25
2022-06-26,The Black Phone,2021,https://boxd.it/2XPSyF,3.5,,Ethan Hawke had fun and so did I,in theaters,2022-06-25
2022-06-30,Independence Day,1996,https://boxd.it/2YAd3v,4,,"Will Smith punches an alien and says “Welcome to Earth” and I felt that 

—-

JXN Film Club Summer Movie Night #3","dulinghall, jxnfilmclub, googleplay",2022-06-29
2022-07-01,"What's Up, Doc?",1972,https://boxd.it/2YLIBv,5,,"This explains so much about what <i>Glee</i> tried to be

Where <i>Glee </i>failed, this excels",hbomax,2022-06-30
2022-07-02,First Reformed,2017,https://boxd.it/2YOGGf,5,Yes,Rewatch for completely normal reasons,"googleplay, metamodern",2022-07-01
2022-07-03,Midsommar,2019,https://boxd.it/2Z5T6t,5,Yes,"I showed this to Christina, who said afterward: “that is fucked up,” and, “why have you seen this so many times?” and, “do you need a therapist?”","itunes, metamodern",2022-07-02
2022-07-05,American History X,1998,https://boxd.it/2Zol1d,4.5,,lonely sons in a fatherless world,hbomax,2022-07-04
2022-07-07,Matthias & Maxime,2019,https://boxd.it/2ZNjCB,4,,This was so personal,mubi,2022-07-06
2022-07-07,On the Count of Three,2021,https://boxd.it/2ZTedD,5,,I don’t know what to say. I loved this.,googleplay,2022-07-06
2022-07-08,Funny Games,1997,https://boxd.it/302Lzv,5,Yes,Watched with Hunter,hbomax,2022-07-07
2022-07-15,Luca,2021,https://boxd.it/31sBDD,5,Yes,JXN Film Club Summer Movie Night #4,"dulinghall, googleplay",2022-07-14
2022-07-16,Thor: Love and Thunder,2022,https://boxd.it/31zZpz,2,,This was a beautiful looking piece of crap,in theaters,2022-07-15
2022-07-19,Irreversible,2002,https://boxd.it/32kBuJ,4,,"It took me 24 days to finally rate this film. 

The title is straightforward: watching this film is an irreversible event. Once it’s happened, it’s happened. You have lost some innocence and trust in humanity. Such is Gaspar Noé’s way. He tells stories in the most extreme way possible.

Be careful, this one is violent toward women and homophobic, though it is art and so it revels in the violence to the point of delight, begging the question of its creation and conception. 

May I never watch this film again, especially in my dreams.","mubi, metamodern",2022-07-18
2022-07-21,Piercing,2018,https://boxd.it/32AlXn,3.5,,"This felt vacuous and yet I was engaged the whole time

I like Christopher Abbott",netflix,2022-07-20
2022-07-22,Nope,2022,https://boxd.it/32RHAJ,3,,"Nope


Watched with Sam, Sam, Markvs, Miriam


































and Jake, who showed up late and sat far away from us","imax, in theaters, samo, markvs, lumberjake",2022-07-21
2022-07-23,Time Piece,1965,https://boxd.it/32Ys3p,5,,“Help.”,mubi,2022-07-22
2022-07-23,The Gray Man,2022,https://boxd.it/334w6z,2.5,,I fell asleep and woke up to Ryan Gosling and Chris Evans in a knife fight and still was bored enough to fall asleep <i>again</i>,netflix,2022-07-22
2022-07-24,Burn After Reading,2008,https://boxd.it/33i2dt,4,,LMAO the government sucks,hulu,2022-07-23
2022-07-25,Halloween,1978,https://boxd.it/33zmcp,5,,John Carpenter including Howard Hawks’ <i>The Thing</i> in this movie before debuting his own version is GOAT,shudder,2022-07-24
2022-07-26,Insidious,2010,https://boxd.it/33H70f,2.5,,Who’s watching the other kids if Lorraine isn’t there?,netflix,2022-07-25
2022-07-26,Predator,1987,https://boxd.it/33Kjwj,4.5,,I wanted <i>Predator</i> to be my first predator movie before I see <i>Prey</i>,hulu,2022-07-25
